,下摆围,中腰围,前胸宽,前衣长,右袖口,右袖长,后中长,后背宽,小臂围,左袖口,左袖长,肚围,肚高,肩宽,胸围,袖肥,领围
1089,115.0,110.0,0.0,0.0,25.0,64.0,74.0,0.0,0.0,25.0,64.0,0.0,0.0,48.0,118.0,41.0,43.0
1090,105.0,96.0,0.0,0.0,24.0,57.0,72.0,0.0,0.0,24.0,57.0,0.0,0.0,43.0,99.0,38.0,40.5
1091,101.0,95.0,0.0,0.0,25.0,66.0,76.0,0.0,0.0,25.0,66.0,0.0,0.0,45.0,105.0,41.0,39.0
1092,115.0,105.0,0.0,0.0,26.0,60.0,76.0,0.0,0.0,26.0,60.0,0.0,0.0,47.0,112.0,42.0,42.0
1093,101.0,95.0,0.0,0.0,25.0,66.0,76.0,0.0,0.0,25.0,66.0,0.0,0.0,45.0,105.0,41.0,39.0
1094,100.0,92.0,0.0,70.0,24.0,58.0,70.0,0.0,0.0,24.0,58.0,0.0,0.0,45.5,99.0,37.5,39.5
1095,110.0,100.0,0.0,75.0,26.0,60.5,74.0,0.0,0.0,26.0,60.5,0.0,0.0,45.0,112.0,42.0,42.0
1096,110.0,100.0,0.0,75.0,26.0,60.5,74.0,0.0,0.0,26.0,60.5,0.0,0.0,45.0,112.0,42.0,42.0
1097,117.0,110.0,0.0,0.0,26.0,60.5,74.0,0.0,0.0,26.0,60.5,0.0,0.0,47.0,113.0,41.0,43.0
1098,106.0,99.0,0.0,76.0,23.0,61.5,74.0,0.0,0.0,24.0,61.5,0.0,0.0,46.0,109.0,39.0,42.0
1099,106.0,96.0,0.0,74.5,24.0,57.5,73.0,-2.4,0.0,24.0,57.5,0.0,0.0,44.0,103.0,19.0,39.0
1100,114.5,109.5,0.0,0.0,25.0,62.0,76.0,0.0,0.0,25.0,62.0,0.0,0.0,47.0,115.0,42.5,43.0
1101,115.0,108.5,0.0,0.0,26.0,63.5,78.0,0.0,0.0,26.0,63.5,0.0,0.0,47.5,115.0,42.0,43.0
1102,112.0,105.0,0.0,82.0,26.0,61.5,79.0,0.0,0.0,26.0,61.5,0.0,0.0,49.0,114.0,21.0,43.5
1103,97.0,89.0,0.0,0.0,24.0,60.0,73.0,0.0,0.0,24.0,60.0,0.0,0.0,44.0,99.0,38.0,39.0
1104,108.0,98.0,0.0,77.0,24.5,62.0,75.0,0.0,0.0,24.5,62.0,0.0,0.0,46.4,110.0,41.0,41.0
1105,112.0,106.0,0.0,76.0,26.5,59.0,74.0,0.0,0.0,26.5,59.0,0.0,0.0,47.4,116.0,43.0,43.0
1106,98.0,85.0,0.0,69.0,23.0,61.0,70.0,0.0,0.0,23.0,61.0,0.0,0.0,42.5,95.0,35.5,38.0
1107,105.0,97.0,0.0,0.0,25.0,61.0,74.0,0.0,0.0,25.0,61.0,0.0,0.0,45.0,107.0,40.0,42.0
1108,97.0,89.0,0.0,0.0,24.0,61.0,72.0,0.0,0.0,0.0,61.0,0.0,0.0,43.0,99.0,36.0,37.8
1109,105.0,97.0,0.0,0.0,25.0,60.0,74.0,0.0,0.0,25.0,60.0,0.0,0.0,45.0,107.0,40.0,41.0
1110,121.0,117.0,0.0,0.0,26.0,59.0,75.0,0.0,0.0,26.0,59.0,0.0,0.0,50.0,124.0,45.0,46.0
1111,116.0,105.0,0.0,0.0,26.0,60.0,76.0,0.0,0.0,26.0,60.0,0.0,0.0,47.0,112.0,42.0,43.0
1112,116.0,105.0,0.0,0.0,26.0,60.0,76.0,0.0,0.0,26.0,60.0,0.0,0.0,47.0,112.5,42.0,43.0
1113,107.0,95.0,0.0,0.0,25.0,64.5,76.0,0.0,0.0,25.0,64.5,0.0,0.0,47.0,106.0,40.0,41.0
1114,92.0,80.0,0.0,68.0,23.5,60.0,69.0,0.0,0.0,23.5,60.0,0.0,0.0,42.0,89.0,33.0,36.0
1115,116.0,102.0,0.0,0.0,21.0,64.0,78.0,0.0,0.0,21.0,64.0,0.0,0.0,46.0,114.0,40.0,40.8
1116,116.0,102.0,0.0,0.0,21.0,64.0,78.0,0.0,0.0,21.0,64.0,0.0,0.0,46.0,114.0,40.0,40.8
1117,103.0,95.0,0.0,0.0,24.0,63.0,76.5,0.0,0.0,24.0,63.0,0.0,0.0,44.0,103.0,39.0,41.0
1118,103.0,95.0,0.0,0.0,24.0,63.0,76.5,0.0,0.0,24.0,63.0,0.0,0.0,44.0,103.0,39.0,41.0
1119,111.0,101.0,0.0,0.0,25.0,63.0,74.0,-1.0,0.0,25.0,63.0,0.0,0.0,45.5,110.0,40.0,42.0
1120,105.0,98.0,0.0,0.0,25.0,62.5,73.0,0.0,0.0,25.0,62.5,0.0,0.0,45.0,107.0,40.0,41.8
1121,101.0,93.0,0.0,0.0,24.0,59.5,74.0,-0.5,0.0,24.0,59.5,0.0,0.0,44.0,103.0,39.0,39.0
1122,97.0,84.0,0.0,0.0,23.0,59.5,71.0,0.0,0.0,23.0,59.5,0.0,0.0,45.0,97.0,36.0,37.4
1123,99.0,88.0,0.0,0.0,24.0,63.0,73.0,0.0,0.0,24.0,63.0,0.0,0.0,44.5,100.0,37.0,38.5
1124,102.0,90.0,0.0,77.0,1.0,63.0,1.0,0.0,0.0,1.0,63.0,0.0,0.0,46.0,102.0,38.5,39.0
1125,110.0,99.0,0.0,0.0,20.0,63.5,78.0,0.0,0.0,20.0,63.5,0.0,0.0,47.0,110.0,39.0,40.8
1126,116.0,105.0,0.0,0.0,26.0,60.0,76.0,0.0,0.0,26.0,60.0,0.0,0.0,47.0,112.5,42.0,43.0
1127,105.0,95.0,0.0,0.0,24.0,63.0,73.0,0.0,0.0,24.0,61.0,0.0,0.0,43.2,105.0,37.0,40.0
1128,140.0,135.0,0.0,0.0,0.0,65.0,82.0,0.0,0.0,28.0,65.0,0.0,0.0,49.0,141.0,50.0,49.0
1129,111.0,101.0,0.0,0.0,25.5,65.5,79.0,0.0,0.0,25.5,65.5,0.0,0.0,47.0,111.0,41.0,42.0
1130,111.0,101.0,0.0,0.0,25.0,60.0,77.0,0.0,0.0,25.0,60.0,0.0,0.0,46.0,111.0,40.0,43.0
1131,121.0,113.0,0.0,0.0,26.0,60.0,77.0,0.0,0.0,26.0,60.0,0.0,0.0,48.0,117.0,43.0,44.0
1132,118.0,111.0,0.0,0.0,26.5,62.0,79.0,0.0,0.0,26.5,62.0,0.0,0.0,47.5,119.0,44.0,43.0
1133,99.0,91.5,0.0,0.0,24.0,61.5,71.0,0.0,0.0,24.0,61.5,0.0,0.0,43.0,102.5,36.0,38.5
1134,99.0,91.5,0.0,0.0,24.0,61.5,71.0,0.0,0.0,24.0,61.5,0.0,0.0,43.0,102.5,36.0,38.5
1135,99.0,91.5,0.0,0.0,24.0,61.5,71.0,0.0,0.0,24.0,61.5,0.0,0.0,43.0,102.5,36.0,38.5
1136,97.0,89.0,0.0,0.0,24.0,62.0,73.0,0.0,0.0,24.0,62.0,0.0,0.0,43.0,99.0,38.0,39.0
1137,98.0,86.0,0.0,0.0,24.0,60.5,73.0,0.0,0.0,24.0,60.5,0.0,0.0,43.0,99.0,35.5,39.0
1138,113.0,108.0,0.0,0.0,25.5,62.0,76.0,0.0,0.0,25.5,62.0,0.0,0.0,47.0,115.0,42.0,41.0
1139,113.0,108.0,0.0,0.0,26.0,64.0,76.0,0.0,0.0,26.0,64.0,0.0,0.0,47.0,115.0,42.0,43.5
1140,113.0,103.0,0.0,0.0,25.0,61.0,76.0,0.0,0.0,25.0,61.0,0.0,0.0,47.5,113.0,41.0,43.5
1141,115.0,108.0,0.0,0.0,26.0,60.0,76.0,0.0,0.0,26.0,60.0,0.0,0.0,46.0,117.0,42.0,45.0
1142,105.0,97.0,0.0,0.0,25.0,62.0,74.0,0.0,0.0,25.0,62.0,0.0,0.0,45.0,109.0,40.0,40.0
1143,105.0,97.0,0.0,0.0,25.0,62.0,74.0,0.0,0.0,25.0,62.0,0.0,0.0,45.0,109.0,40.0,40.0
1144,109.0,101.0,0.0,0.0,24.0,60.0,73.0,0.0,0.0,24.0,60.0,0.0,0.0,45.0,109.0,41.0,41.0
1145,119.0,114.0,0.0,0.0,26.0,62.0,78.0,0.0,0.0,26.0,62.0,0.0,0.0,48.0,121.0,43.0,44.0
1146,97.0,92.0,0.0,0.0,24.0,61.0,73.0,0.0,0.0,24.0,61.0,0.0,0.0,43.0,99.0,38.0,39.0
1147,108.0,102.0,0.0,0.0,25.0,66.0,77.0,0.0,0.0,25.0,66.0,0.0,0.0,45.5,109.0,40.0,42.0
1148,108.0,102.0,0.0,0.0,25.0,66.0,79.0,0.0,0.0,25.0,66.0,0.0,0.0,45.5,109.0,40.0,42.0
1149,105.0,97.0,0.0,0.0,25.0,62.0,74.0,0.0,0.0,25.0,62.0,0.0,0.0,45.0,107.0,40.0,38.0
1150,107.0,101.0,0.0,0.0,25.0,60.0,74.0,0.0,0.0,25.0,60.0,0.0,0.0,45.0,109.0,40.0,41.0
1151,107.0,101.0,0.0,0.0,25.0,60.0,74.0,0.0,0.0,25.0,60.0,0.0,0.0,45.0,109.0,40.0,41.0
1152,103.0,95.0,0.0,71.0,25.0,59.0,73.0,0.0,0.0,25.0,59.0,0.0,0.0,44.0,102.5,37.5,41.0
1153,99.0,91.0,0.0,0.0,24.0,63.0,73.0,0.0,0.0,24.0,63.0,0.0,0.0,43.0,101.0,38.0,39.0
1154,99.0,91.0,0.0,0.0,24.0,63.0,73.0,0.0,0.0,24.0,63.0,0.0,0.0,43.0,101.0,38.0,39.0
1155,89.0,81.0,0.0,0.0,22.0,55.5,70.0,0.0,0.0,22.0,55.5,0.0,0.0,41.0,91.0,36.0,37.0
1156,95.0,82.0,0.0,0.0,21.5,60.0,70.0,0.0,0.0,21.5,60.0,0.0,0.0,42.5,91.0,36.0,37.0
1157,113.0,105.0,0.0,0.0,26.0,64.0,76.0,0.0,0.0,26.5,64.0,0.0,0.0,47.0,115.0,42.0,40.8
1158,98.0,87.0,1.0,77.0,23.0,63.5,76.0,0.0,0.0,23.0,63.5,0.0,0.0,46.0,96.0,37.0,39.0
1159,103.0,94.0,0.0,0.0,24.0,61.0,75.0,0.0,0.0,24.0,61.0,0.0,0.0,44.3,104.0,37.0,39.5
1160,99.0,89.0,0.0,0.0,24.0,63.0,73.0,0.0,0.0,24.0,63.0,0.0,0.0,45.0,99.0,38.0,38.0
1161,113.0,105.0,0.0,0.0,26.0,62.0,76.0,0.0,0.0,26.0,61.0,0.0,0.0,47.0,115.0,42.0,43.0
1162,112.0,107.0,0.0,0.0,25.5,59.0,76.0,0.0,0.0,25.5,59.0,0.0,0.0,45.0,112.5,40.5,43.0
1163,97.0,183.0,0.0,0.0,24.0,61.0,69.0,0.0,0.0,24.0,61.0,0.0,0.0,43.5,110.0,40.0,41.5
1164,121.0,113.0,0.0,0.0,26.0,60.0,75.5,0.0,0.0,26.0,60.0,0.0,0.0,47.0,121.5,42.0,44.0
1165,113.0,104.0,0.0,0.0,26.5,62.0,74.5,0.0,0.0,26.5,62.0,0.0,0.0,46.5,113.0,42.0,43.0
1166,113.0,104.0,0.0,0.0,26.5,62.0,74.5,0.0,0.0,26.5,62.0,0.0,0.0,46.5,113.0,42.0,43.0
1167,113.0,105.0,0.0,0.0,26.0,63.0,76.0,0.0,0.0,26.0,63.0,0.0,0.0,47.0,116.0,42.0,43.0
1168,113.0,105.0,0.0,0.0,26.0,63.0,76.0,0.0,0.0,26.0,63.0,0.0,0.0,47.0,116.0,42.0,43.0
1169,105.0,95.0,0.0,0.0,25.0,63.0,75.0,0.0,0.0,25.0,63.0,0.0,0.0,46.0,105.0,41.0,41.0
1170,113.0,105.0,0.0,0.0,26.0,64.0,76.0,0.0,0.0,26.0,64.0,0.0,0.0,47.0,112.0,41.5,43.0
1171,115.0,107.0,0.0,0.0,24.2,57.5,71.0,0.0,0.0,24.2,57.5,0.0,0.0,45.7,117.0,41.0,41.5
1172,106.0,98.0,0.0,0.0,25.0,64.0,76.0,0.0,0.0,25.0,64.0,0.0,0.0,46.0,110.0,40.0,43.0
1173,87.0,77.0,0.0,0.0,22.0,60.0,70.0,0.0,0.0,22.0,60.0,0.0,0.0,40.0,89.0,35.0,37.0
1174,109.0,101.0,0.0,0.0,25.0,67.5,76.0,0.0,0.0,25.0,67.5,0.0,0.0,47.5,113.0,43.0,42.0
1175,109.0,104.0,0.0,0.0,25.0,63.0,76.0,0.0,0.0,25.0,63.0,0.0,0.0,45.5,111.0,39.5,40.5
1176,113.0,105.0,0.0,0.0,26.0,63.0,76.0,0.0,0.0,26.0,63.0,0.0,0.0,47.0,116.0,42.0,43.0
1177,104.5,92.5,0.0,0.0,22.0,57.0,71.0,0.0,0.0,22.0,57.0,0.0,0.0,42.5,101.0,38.5,39.0
1178,100.0,93.0,0.0,0.0,24.0,58.0,70.0,0.0,0.0,24.0,58.0,0.0,0.0,43.0,99.0,36.5,37.5
1179,113.0,105.0,0.0,0.0,25.0,62.0,74.0,0.0,0.0,25.0,62.0,0.0,0.0,46.0,113.0,41.0,42.5
1180,102.0,94.0,0.0,0.0,24.0,63.0,74.0,0.0,0.0,24.0,63.0,0.0,0.0,44.0,103.0,39.0,40.0
1181,95.0,82.0,0.0,0.0,21.5,60.0,70.0,0.0,0.0,21.5,60.0,0.0,0.0,42.5,91.0,36.0,37.0
1182,105.0,95.0,0.0,0.0,25.0,61.0,74.0,0.0,0.0,0.0,61.0,0.0,0.0,45.0,105.0,40.0,40.0
1183,105.0,95.0,0.0,0.0,25.0,61.0,74.0,0.0,0.0,0.0,61.0,0.0,0.0,45.0,105.0,40.0,40.0
1184,123.0,115.0,0.0,0.0,25.5,62.0,75.2,0.0,0.0,25.5,62.0,0.0,0.0,47.8,120.4,43.0,45.0
1185,110.0,100.0,0.0,77.0,25.0,68.0,80.0,0.0,0.0,25.0,68.0,0.0,0.0,46.0,110.0,41.0,40.0
1186,101.0,93.0,0.0,0.0,24.0,63.0,76.0,0.0,0.0,24.0,63.0,0.0,0.0,44.0,103.0,38.0,40.0
1187,112.0,103.0,-0.5,0.0,25.0,57.5,75.0,0.0,0.0,25.0,57.5,0.0,0.5,46.0,111.0,40.0,42.5
1188,97.0,86.0,0.0,0.0,23.5,61.5,73.0,0.0,0.0,23.5,61.5,0.0,0.0,43.0,98.0,38.0,39.5
1189,108.5,100.5,0.0,0.0,25.0,59.5,74.0,0.0,0.0,25.0,63.0,0.0,0.0,44.0,107.0,40.0,42.0
1190,108.5,100.5,0.0,0.0,25.0,59.5,74.0,0.0,0.0,25.0,63.0,0.0,0.0,44.0,107.0,40.0,42.0
1191,112.0,108.0,0.0,0.0,25.0,56.0,74.0,0.0,0.0,25.0,56.0,0.0,0.0,46.0,111.0,41.0,43.5
1192,112.0,108.0,0.0,0.0,25.0,56.0,74.0,0.0,0.0,25.0,56.0,0.0,0.0,46.0,111.0,41.0,43.5
1193,110.5,102.5,0.0,0.0,25.0,60.5,74.0,0.0,0.0,25.0,60.5,0.0,0.0,46.0,112.0,41.0,41.5
1194,112.0,103.0,0.0,0.0,28.0,62.0,74.0,0.0,0.0,28.0,62.0,0.0,0.0,44.0,113.0,38.0,40.5
1195,108.0,104.0,43.0,0.0,20.8,60.5,74.5,45.0,34.0,20.8,60.5,104.0,0.0,48.5,110.0,39.0,42.0
1196,108.0,104.0,43.0,0.0,20.8,60.5,74.5,45.0,34.0,20.8,60.5,104.0,0.0,48.5,110.0,39.0,42.0
1197,114.0,112.0,45.5,0.0,21.5,61.5,75.0,48.0,0.0,21.5,61.5,114.0,0.0,47.0,114.0,45.0,43.0
1198,112.0,110.0,45.5,0.0,21.5,67.0,77.0,47.5,0.0,21.5,67.0,112.0,0.0,48.5,112.0,44.0,42.5
1199,102.0,91.0,42.0,0.0,20.0,59.5,72.0,43.0,37.0,20.0,59.5,0.0,0.0,44.6,101.0,40.0,40.0
1200,107.0,102.0,0.0,0.0,20.5,57.5,72.0,0.0,0.0,20.5,57.5,104.0,0.0,46.4,108.0,42.0,42.5
1201,106.0,100.5,0.0,71.0,25.0,59.0,73.0,0.0,0.0,25.0,59.0,0.0,0.0,43.5,105.5,40.0,42.5
1202,114.0,109.0,0.0,0.0,25.0,60.5,76.0,0.0,0.0,25.0,60.5,0.0,0.0,47.5,111.0,42.0,43.0
1203,105.0,98.0,0.0,0.0,25.0,58.0,74.0,0.0,0.0,25.0,58.0,0.0,0.0,45.5,108.0,40.5,42.0
1204,96.0,87.0,0.0,74.5,24.5,67.0,73.0,0.0,0.0,24.5,67.0,0.0,0.0,45.5,100.0,37.0,39.0
1205,117.0,110.0,0.0,0.0,25.5,57.5,75.5,0.0,0.0,25.5,57.5,0.0,0.0,46.0,117.0,45.0,44.0
1206,89.0,81.0,0.0,0.0,22.0,60.0,70.0,0.0,0.0,22.0,60.0,0.0,0.0,41.0,91.0,36.0,37.0
1207,113.0,96.0,0.0,79.0,26.0,64.0,79.0,0.0,0.0,26.0,64.0,0.0,0.0,47.0,103.0,41.0,43.0
1208,109.0,103.0,0.0,0.0,25.0,64.0,76.0,0.0,0.0,25.0,64.0,0.0,0.0,45.0,111.0,41.0,41.0
